text,sentiment
"Awful product and terrible packaging",negative
"Not bad, not great either",neutral
"Absolutely love this product, exceeded my expectations",positive
"Do not buy this, complete waste of money",negative
"Average product for the price",neutral
"Works exactly as described, very happy",positive
"Worst purchase I have ever made",negative
"Fine for basic needs, nothing fancy",neutral
"Excellent value for the price, highly recommend",positive
"Total scam, save your money",negative
"Reasonable product, fits my needs",neutral
"Solid build and looks even better in person",positive
"Terrible quality, broke within a week",negative
"Works as expected, no complaints",neutral
"Best purchase I have made all year",positive
"Not as described, very disappointed",negative
"Does the job, that is about it",neutral
"Five stars, perfect in every way",positive
"Cheap materials, fell apart immediately",negative
"Acceptable but I have seen better",neutral
"Fantastic experience from order to delivery",positive
"Would give zero stars if I could",negative
"It is okay, nothing special",neutral
"Great quality and fast shipping, would buy again",positive
"Arrived damaged and customer service was unhelpful",negative
"Decent but not exceptional",neutral
"Outstanding customer service and a fantastic item",positive
"Stopped working after two days, returning it",negative
"Mediocre experience overall",neutral
"I am thrilled with this product, well made",positive
"Awful product and terrible packaging",negative
"Not bad, not great either",neutral
"Absolutely love this product, exceeded my expectations",positive
"Do not buy this, complete waste of money",negative
"Average product for the price",neutral
"Works exactly as described, very happy",positive
"Worst purchase I have ever made",negative
"Fine for basic needs, nothing fancy",neutral
"Excellent value for the price, highly recommend",positive
"Total scam, save your money",negative
"Reasonable product, fits my needs",neutral
"Solid build and looks even better in person",positive
"Terrible quality, broke within a week",negative
"Works as expected, no complaints",neutral
"Best purchase I have made all year",positive
"Not as described, very disappointed",negative
"Does the job, that is about it",neutral
"Five stars, perfect in every way",positive
"Cheap materials, fell apart immediately",negative
"Acceptable but I have seen better",neutral
"Fantastic experience from order to delivery",positive
"Would give zero stars if I could",negative
"It is okay, nothing special",neutral
"Great quality and fast shipping, would buy again",positive
"Arrived damaged and customer service was unhelpful",negative
"Decent but not exceptional",neutral
"Outstanding customer service and a fantastic item",positive
"Stopped working after two days, returning it",negative
"Mediocre experience overall",neutral
"I am thrilled with this product, well made",positive
"Awful product and terrible packaging",negative
"Not bad, not great either",neutral
"Absolutely love this product, exceeded my expectations",positive
"Do not buy this, complete waste of money",negative
"Average product for the price",neutral
"Works exactly as described, very happy",positive
"Worst purchase I have ever made",negative
"Fine for basic needs, nothing fancy",neutral
"Excellent value for the price, highly recommend",positive
"Total scam, save your money",negative
"Reasonable product, fits my needs",neutral
"Solid build and looks even better in person",positive
"Terrible quality, broke within a week",negative
"Works as expected, no complaints",neutral
"Best purchase I have made all year",positive
"Not as described, very disappointed",negative
"Does the job, that is about it",neutral
"Five stars, perfect in every way",positive
"Cheap materials, fell apart immediately",negative
"Acceptable but I have seen better",neutral
"Fantastic experience from order to delivery",positive
"Would give zero stars if I could",negative
